月份,place,heat
1,故宫,197
1,天安门广场,140
1,颐和园,38
1,天坛公园,58
1,后海,60
1,雍和宫,40
1,鸟巢,39
1,十三陵,0
1,圆明园,20
1,慕田峪长城,20
1,八达岭长城,25
1,金山岭长城,1
1,居庸关,11
1,国际机场,45
1,北京动物园,7
1,王府井,38
1,三里屯,65
1,世贸天阶,6
1,西单,10
1,蓝色港湾,26
1,798艺术区,39
1,五道口,9
2,故宫,111
2,天安门广场,68
2,颐和园,62
2,天坛公园,42
2,后海,70
2,雍和宫,60
2,鸟巢,36
2,十三陵,0
2,圆明园,8
2,慕田峪长城,40
2,八达岭长城,2
2,金山岭长城,2
2,居庸关,5
2,国际机场,55
2,北京动物园,9
2,王府井,26
2,三里屯,28
2,世贸天阶,6
2,西单,7
2,蓝色港湾,6
2,798艺术区,32
2,五道口,4
3,故宫,363
3,天安门广场,200
3,颐和园,138
3,天坛公园,124
3,后海,85
3,雍和宫,75
3,鸟巢,48
3,十三陵,10
3,圆明园,1
3,慕田峪长城,61
3,八达岭长城,40
3,金山岭长城,22
3,居庸关,19
3,国际机场,38
3,北京动物园,21
3,王府井,41
3,三里屯,66
3,世贸天阶,4
3,西单,8
3,蓝色港湾,11
3,798艺术区,35
3,五道口,2
4,故宫,652
4,天安门广场,374
4,颐和园,172
4,天坛公园,221
4,后海,169
4,雍和宫,122
4,鸟巢,83
4,十三陵,41
4,圆明园,16
4,慕田峪长城,52
4,八达岭长城,110
4,金山岭长城,5
4,居庸关,53
4,国际机场,68
4,北京动物园,42
4,王府井,89
4,三里屯,85
4,世贸天阶,19
4,西单,9
4,蓝色港湾,14
4,798艺术区,96
4,五道口,8
5,故宫,397
5,天安门广场,250
5,颐和园,148
5,天坛公园,149
5,后海,101
5,雍和宫,100
5,鸟巢,81
5,十三陵,27
5,圆明园,13
5,慕田峪长城,82
5,八达岭长城,48
5,金山岭长城,16
5,居庸关,37
5,国际机场,37
5,北京动物园,34
5,王府井,63
5,三里屯,67
5,世贸天阶,3
5,西单,10
5,蓝色港湾,5
5,798艺术区,48
5,五道口,8
6,故宫,326
6,天安门广场,162
6,颐和园,126
6,天坛公园,118
6,后海,104
6,雍和宫,63
6,鸟巢,81
6,十三陵,8
6,圆明园,26
6,慕田峪长城,38
6,八达岭长城,47
6,金山岭长城,15
6,居庸关,39
6,国际机场,52
6,北京动物园,14
6,王府井,67
6,三里屯,49
6,世贸天阶,3
6,西单,6
6,蓝色港湾,4
6,798艺术区,65
6,五道口,9
7,故宫,383
7,天安门广场,187
7,颐和园,128
7,天坛公园,115
7,后海,88
7,雍和宫,71
7,鸟巢,59
7,十三陵,3
7,圆明园,9
7,慕田峪长城,52
7,八达岭长城,45
7,金山岭长城,25
7,居庸关,35
7,国际机场,38
7,北京动物园,9
7,王府井,49
7,三里屯,46
7,世贸天阶,4
7,西单,12
7,蓝色港湾,3
7,798艺术区,37
7,五道口,6
8,故宫,469
8,天安门广场,246
8,颐和园,157
8,天坛公园,173
8,后海,135
8,雍和宫,100
8,鸟巢,114
8,十三陵,34
8,圆明园,25
8,慕田峪长城,73
8,八达岭长城,59
8,金山岭长城,31
8,居庸关,51
8,国际机场,62
8,北京动物园,6
8,王府井,57
8,三里屯,62
8,世贸天阶,9
8,西单,8
8,蓝色港湾,6
8,798艺术区,46
8,五道口,6
9,故宫,473
9,天安门广场,255
9,颐和园,119
9,天坛公园,167
9,后海,106
9,雍和宫,112
9,鸟巢,86
9,十三陵,12
9,圆明园,26
9,慕田峪长城,95
9,八达岭长城,60
9,金山岭长城,35
9,居庸关,27
9,国际机场,51
9,北京动物园,35
9,王府井,61
9,三里屯,55
9,世贸天阶,9
9,西单,4
9,蓝色港湾,10
9,798艺术区,55
9,五道口,3
10,故宫,438
10,天安门广场,281
10,颐和园,176
10,天坛公园,165
10,后海,113
10,雍和宫,137
10,鸟巢,77
10,十三陵,37
10,圆明园,15
10,慕田峪长城,107
10,八达岭长城,62
10,金山岭长城,23
10,居庸关,71
10,国际机场,44
10,北京动物园,20
10,王府井,50
10,三里屯,55
10,世贸天阶,11
10,西单,5
10,蓝色港湾,4
10,798艺术区,78
10,五道口,10
11,故宫,386
11,天安门广场,211
11,颐和园,91
11,天坛公园,116
11,后海,76
11,雍和宫,60
11,鸟巢,58
11,十三陵,1
11,圆明园,21
11,慕田峪长城,33
11,八达岭长城,37
11,金山岭长城,11
11,居庸关,32
11,国际机场,50
11,北京动物园,10
11,王府井,38
11,三里屯,54
11,世贸天阶,14
11,西单,6
11,蓝色港湾,4
11,798艺术区,44
11,五道口,4
12,故宫,295
12,天安门广场,146
12,颐和园,89
12,天坛公园,133
12,后海,78
12,雍和宫,69
12,鸟巢,72
12,十三陵,12
12,圆明园,21
12,慕田峪长城,54
12,八达岭长城,46
12,金山岭长城,8
12,居庸关,26
12,国际机场,55
12,北京动物园,10
12,王府井,77
12,三里屯,45
12,世贸天阶,8
12,西单,19
12,蓝色港湾,11
12,798艺术区,23
12,五道口,4
