to,from,rate
三里屯,三里屯,0.4831223628691983
三里屯,后海,0.11181434599156118
三里屯,雍和宫,0.10337552742616034
后海,三里屯,0.20205479452054795
后海,后海,0.2089041095890411
后海,雍和宫,0.14726027397260275
后海,故宫,0.15753424657534246
雍和宫,三里屯,0.1607843137254902
雍和宫,后海,0.19215686274509805
雍和宫,雍和宫,0.3176470588235294
雍和宫,798艺术区,0.10588235294117647
故宫,故宫,0.14732142857142858
故宫,天安门广场,0.4419642857142857
天安门广场,三里屯,0.11627906976744186
天安门广场,后海,0.16279069767441862
天安门广场,故宫,0.20348837209302326
天安门广场,天安门广场,0.18023255813953487
798艺术区,三里屯,0.21910112359550563
798艺术区,后海,0.1404494382022472
798艺术区,798艺术区,0.25842696629213485
鸟巢,三里屯,0.1651376146788991
鸟巢,后海,0.10091743119266056
鸟巢,故宫,0.11926605504587157
鸟巢,天安门广场,0.12844036697247707
鸟巢,鸟巢,0.21100917431192662
颐和园,后海,0.1724137931034483
颐和园,故宫,0.3563218390804598
颐和园,天安门广场,0.10344827586206896
国际机场,三里屯,0.2871287128712871
国际机场,国际机场,0.24752475247524752
世贸天阶,三里屯,0.2761904761904762
世贸天阶,798艺术区,0.10476190476190476
世贸天阶,世贸天阶,0.3142857142857143
